,latent_dimension,drug,correlation,name,moa,target,indication,phase,Associated Pathways
124967,35,BRD-K69280563-001-01-8::2.5::HTS,-0.17862261949016517,vinorelbine,tubulin polymerization inhibitor,"TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8",non-small cell lung cancer (NSCLC),Launched,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
124975,35,BRD-K69650333-003-14-0::2.5::HTS,-0.18716298382113522,idarubicin,topoisomerase inhibitor,TOP2A,acute myeloid leukemia (AML),Launched,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
124977,35,BRD-K69694239-001-02-2::2.5::HTS,-0.18146326540436422,bardoxolone-methyl,"nuclear factor erythroid derived, like (NRF2) activator","PPARG, STAT3",,Phase 3,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
124978,35,BRD-K69726342-238-02-4::2.5::HTS,-0.12743066893534283,atorvastatin,HMGCR inhibitor,"AHR, DPP4, HMGCR","stroke, heart attack",Launched,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
124984,35,BRD-K69932463-001-10-6::2.5::HTS,-0.17432123166872765,AZD8055,mTOR inhibitor,MTOR,,Phase 1,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
124998,35,BRD-K70401845-003-09-6::2.5::HTS,-0.1447353901268409,erlotinib,EGFR inhibitor,"EGFR, NR1I2","non-small cell lung cancer (NSCLC), pancreatic cancer",Launched,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125002,35,BRD-K70490179-300-01-2::2.5::HTS,0.10034967450001794,rimcazole,sigma receptor antagonist,SIGMAR1,,Phase 1,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125005,35,BRD-K70511574-001-06-9::2.5::HTS,-0.13641556758822768,HMN-214,PLK inhibitor,PLK1,,Phase 1,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125008,35,BRD-K70592483-001-01-0::2.5::HTS,-0.1285331321685274,phenylacetylglutamine,"DNA methylase inhibitor, protein synthesis inhibitor",,,Phase 2,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125021,35,BRD-K71075609-003-01-0::2.5::HTS,-0.15733898036076188,dorzolamide,carbonic anhydrase inhibitor,"CA1, CA12, CA14, CA2, CA4, CA7","intraocular pressure, glaucoma",Launched,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125028,35,BRD-K71281111-001-04-3::2.5::HTS,-0.13665254562112683,SNX-2112,HSP inhibitor,,,Phase 1,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125032,35,BRD-K71467466-001-02-3::2.5::HTS,-0.16002126361667846,KPT-185,exportin antagonist,XPO1,,Preclinical,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125035,35,BRD-K71512533-066-02-8::2.5::HTS,-0.21762134134151817,SNS-314,Aurora kinase inhibitor,"AURKA, AURKB, AURKC",,Phase 1,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125042,35,BRD-K71823332-001-03-7::2.5::HTS,-0.17758998198331324,epothilone-a,microtubule stabilizing agent,,,Preclinical,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125064,35,BRD-K72414522-001-06-7::2.5::HTS,-0.10953759984060135,AZD5438,CDK inhibitor,KCNH2,,Phase 1,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125067,35,BRD-K72542090-304-02-4::2.5::HTS,-0.11206565876959229,clodronic-acid,bone resorption inhibitor,"SLC25A4, SLC25A5, SLC25A6","osteoporosis, hyperparathyroidism, hypercalcemia, multiple myeloma",Launched,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125069,35,BRD-K72703948-001-10-1::2.5::HTS,-0.1634491993746841,ZM-447439,Aurora kinase inhibitor,"AURKA, AURKB",,Preclinical,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125073,35,BRD-K72815923-034-01-2::2.5::HTS,-0.153854839193145,xanomeline,acetylcholine receptor agonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR6, HTR7",,Phase 3,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125078,35,BRD-K72925150-001-11-1::2.5::HTS,-0.13941168920975644,sclareolide,other antifungal,,,Launched,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125079,35,BRD-K72951360-001-01-4::2.5::HTS,-0.11657250420079317,valrubicin,"DNA inhibitor, topoisomerase inhibitor",TOP2A,bladder cancer,Launched,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125086,35,BRD-K73197500-001-02-2::2.5::HTS,-0.18171399987280765,SNX-5422,HSP inhibitor,HSP90AA1,,Phase 1/Phase 2,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125088,35,BRD-K73237276-001-01-0::2.5::HTS,0.1399970699229221,tacalcitol,vitamin D receptor agonist,VDR,"psoriasis, chapped lips",Launched,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125091,35,BRD-K73293050-001-03-1::2.5::HTS,-0.13766213919340725,WZ-3146,EGFR inhibitor,EGFR,,Preclinical,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125099,35,BRD-K73383190-001-02-3::2.56::HTS,-0.10581294378434188,C646,histone acetyltransferase inhibitor,EP300,,Preclinical,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125111,35,BRD-K73541271-001-03-6::2.5::HTS,-0.13481169722322228,etofenamate,cyclooxygenase inhibitor,"PTGS1, PTGS2","muscle pain, joint pain",Launched,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125120,35,BRD-K73838513-003-05-5::2.5::HTS,-0.11287532861732297,cinacalcet,calcium channel activator,CASR,"hyperparathyroidism, chronic kidney disease (CKD), parathyroid carcinoma, hypercalcemia",Launched,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125121,35,BRD-K73923631-003-02-9::2.5::HTS,0.11332412143818822,difloxacin,bacterial DNA gyrase inhibitor,,"skin infections, urinary tract infections",Launched,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125124,35,BRD-K74057757-001-01-9::2.5::HTS,-0.135907403204806,indibulin,tubulin polymerization inhibitor,,,Phase 1/Phase 2,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125131,35,BRD-K74193284-001-04-8::2.5::HTS,-0.1441605547356507,phenylmercuric-acetate,other antifungal,,,Preclinical,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125135,35,BRD-K74305673-001-06-2::2.5::HTS,-0.1070657208518574,IKK-2-inhibitor-V,"IKK inhibitor, NFkB pathway inhibitor",IKBKB,,Phase 1,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125138,35,BRD-K74371986-001-01-7::2.5::HTS,-0.11917033269386518,NSI-189,neurotrophic agent,,,Phase 2,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125147,35,BRD-K74990253-001-02-8::2.5::HTS,-0.12235770309734731,BW-373U86,opioid receptor agonist,OPRD1,,Preclinical,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125155,35,BRD-K75295174-001-05-0::2.5::HTS,-0.2141185394731032,alisertib,Aurora kinase inhibitor,AURKA,,Phase 3,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125157,35,BRD-K75352575-001-01-3::2.5::HTS,-0.1808900826944388,KPT-276,exportin antagonist,XPO1,,Preclinical,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125172,35,BRD-K75911534-001-01-6::2.5::HTS,-0.11396871342660345,SU014813,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",KDR,,Phase 2,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125176,35,BRD-K75958547-238-01-0::2.5::HTS,-0.2483154849527821,pitavastatin,HMGCR inhibitor,HMGCR,hyperlipidemia,Launched,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125185,35,BRD-K76304753-003-20-3::2.5::HTS,-0.11844122481558726,phenazopyridine,local anesthetic,SCN1A,urinary tract infections,Launched,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125194,35,BRD-K76606751-001-01-7::2.5::HTS,-0.10759140351344948,mebicar,anxiolytic,,anxiety,Launched,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125200,35,BRD-K76703230-004-03-3::2.5::HTS,-0.14552920879794884,YM-155,survivin inhibitor,BIRC5,,Phase 2,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
125245,35,BRD-K77841042-001-14-1::2.5::HTS,-0.13742788499741865,brefeldin-a,protein synthesis inhibitor,"ARF1, CYTH2",,Preclinical,"['S Phase R-HSA-69242', 'DNA Replication R-HSA-69306', 'G1/S Transition R-HSA-69206', 'Synthesis Of DNA R-HSA-69239', 'DNA Replication Pre-Initiation R-HSA-69002', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'Transcriptional Regulation By RUNX2 R-HSA-8878166']"
